company_name,f_quarter,reported_earnings,estimize_consensus,estimize_mean,wall_street_consensus
EVRG,FQ1 '19,0.44,0.39,0.41,0.4
EVRG,FQ2 '19,0.58,0.63,0.63,0.6
EVRG,FQ3 '19,1.57,1.54,1.54,1.59
EVRG,FQ4 '19,0.32,0.3,0.31,0.31
SPSC,FQ1 '19,0.3,0.27,0.26,0.26
SPSC,FQ2 '19,0.3,0.29,0.28,0.26
SPSC,FQ3 '19,0.33,0.32,0.35,0.28
SPSC,FQ4 '19,0.35,0.33,0.33,0.3
MUSA,FQ1 '19,0.16,,,
MUSA,FQ2 '19,1.01,,,
MUSA,FQ3 '19,2.53,,,
MUSA,FQ4 '19,1.54,,,
AAP,FQ1 '19,2.46,2.38,2.34,2.36
AAP,FQ2 '19,2,2.24,2.22,2.22
AAP,FQ3 '19,2.1,2.07,2.08,2.07
AAP,FQ4 '19,1.64,1.4,1.4,1.36
TLRY,FQ1 '19,-0.08,-0.15,-0.15,-0.14
TLRY,FQ2 '19,-0.33,-0.13,-0.14,-0.13
TLRY,FQ3 '19,-0.27,-0.26,-0.25,-0.25
TLRY,FQ4 '19,-0.32,-0.22,-0.21,-0.23
JJSF,FQ1 '19,0.93,0.88,0.87,0.87
JJSF,FQ2 '19,1.08,1.04,1.05,1.02
JJSF,FQ3 '19,1.63,1.54,1.54,1.54
JJSF,FQ4 '19,1.43,1.45,1.45,1.42
MTN,FQ1 '19,-2.66,-2.32,-2.26,-2.44
MTN,FQ2 '19,5.02,4.89,4.94,4.79
MTN,FQ3 '19,7.12,7.09,7.15,7.03
MTN,FQ4 '19,-2.22,-2.44,-2.45,-2.58
MINI,FQ1 '19,0.41,0.4,0.4,0.39
MINI,FQ2 '19,0.41,0.43,0.42,0.41
MINI,FQ3 '19,0.54,0.49,0.49,0.5
MINI,FQ4 '19,0.67,0.58,0.59,0.56
BZUN,FQ1 '19,0.13,0.25,0.21,
BZUN,FQ2 '19,0.21,0.23,0.23,
BZUN,FQ3 '19,0.14,0.23,0.23,
BZUN,FQ4 '19,0.34,0.43,0.47,0.44
NBR,FQ1 '19,-18,-12.11,-11.17,-12.35
NBR,FQ2 '19,-20.5,-10.77,-11.03,-10.65
NBR,FQ3 '19,-15.5,-13.19,-11.23,-11.3
NBR,FQ4 '19,-12,-12.3,-10.58,-13.35
TNL,FQ1 '19,1.03,0.93,0.95,0.9
TNL,FQ2 '19,1.45,1.39,1.39,1.36
TNL,FQ3 '19,1.57,1.51,1.52,1.47
TNL,FQ4 '19,1.58,1.59,1.58,1.55
ABC,FQ1 '19,1.6,1.56,1.59,1.5
ABC,FQ2 '19,2.11,2,2.07,1.96
ABC,FQ3 '19,1.76,1.61,1.66,1.63
ABC,FQ4 '19,1.61,1.63,1.66,1.58
LSCC,FQ1 '19,0.11,0.1,0.1,0.09
LSCC,FQ2 '19,0.15,0.13,0.12,0.12
LSCC,FQ3 '19,0.17,0.16,0.15,0.15
LSCC,FQ4 '19,0.17,0.16,0.16,0.15
