analyst_id,ticker,f_quarter,reports,published,eps,revenue
BillB1210,SPWH,Q3 2021,"Dec8,2021","Nov13,2021",0.64,400.52
BillB1210,RH,Q3 2021,"Dec8,2021","Dec5,2021",6.97,990.44
BillB1210,GEF,Q4 2021,"Dec8,2021","Dec5,2021",1.41,1362.00
BillB1210,AGX,Q3 2021,"Dec8,2021","Dec5,2021",0.69,134.20
BillB1210,OXM,Q3 2021,"Dec8,2021","Dec5,2021",0.60,235.89
Canaccord_188,TEAM,Q2 2022,"Jan20,2022","Oct28,2021",0.42,645.00
Canaccord_188,NOW,Q4 2021,"Jan26,2022","Oct27,2021",1.42,1608.00
Canaccord_188,DT,Q3 2022,"Feb2,2022","Oct27,2021",235.00,
Canaccord_188,ZEN,Q4 2021,"Feb8,2022","Oct28,2021",0.26,371.76
Canaccord_188,AAIC,Q4 2021,"Feb8,2022","Jan4,2021",-0.17,48.18
Madmoni,RH,Q3 2021,"Dec8,2021","Dec7,2021",6.62,982.95
Madmoni,PATH,Q3 2021,"Dec8,2021","Dec7,2021",-0.03,208.44
Madmoni,CIEN,Q4 2021,"Dec9,2021","Dec7,2021",0.87,1026.00
Madmoni,COST,Q1 2022,"Dec9,2021","Dec7,2021",2.63,54200.00
Madmoni,ORCL,Q2 2022,"Dec9,2021","Dec7,2021",1.12,10214.00
Madmoni,LULU,Q3 2021,"Dec9,2021","Dec7,2021",1.41,1430.00
Madmoni,GRUB,Q3 2021,"Dec10,2021","Dec7,2021",-0.05,577.67
Oppenheimer_55,ZEN,Q4 2021,"Feb8,2022","Feb5,2021",0.28,359.30
Oppenheimer_55,MODN,Q1 2022,"Feb8,2022","Jul10,2020",-1000000000000000000.00,"-10,00,00,00,00,00,00,00,000.00"
Oppenheimer_55,SPSC,Q4 2021,"Feb8,2022","Dec17,2020",0.39,92.30
Oppenheimer_55,HUBS,Q4 2021,"Feb15,2022","Nov6,2020",0.41,274.80
Oppenheimer_55,SHOP,Q4 2021,"Feb16,2022","Oct29,2020",1.46,1.20
Needham_26,DOCS,Q3 2022,"Jan28,2022","Nov10,2021",0.14,86.30
Needham_26,PCTY,Q2 2022,"Feb3,2022","Nov5,2021",0.46,183.36
Needham_26,PRO,Q4 2021,"Feb8,2022","Nov3,2021",-0.23,63.51
Needham_26,SPSC,Q4 2021,"Feb8,2022","Nov4,2021",0.42,100.56
Needham_26,CDAY,Q4 2021,"Feb9,2022","Nov4,2021",0.01,274.96
Oppenheimer_8,ORCL,Q2 2022,"Dec9,2021","Jun16,2021",1.18,10.41
Oppenheimer_8,ADBE,Q4 2021,"Dec16,2021","Sep22,2021",3.18,4068.00
Oppenheimer_8,NOW,Q4 2021,"Jan26,2022","Jul28,2021",1.51,1.58
Oppenheimer_8,MIXT,Q3 2022,"Feb3,2022","May28,2020",0.30,35.00
Oppenheimer_8,PCTY,Q2 2022,"Feb3,2022","Jul2,2021",-1000000000000000000.00,"-10,00,00,00,00,00,00,00,000.00"
Oppenheimer_26,TSCO,Q4 2021,"Feb2,2022","Nov3,2021",1.76,
Oppenheimer_26,EZPW,Q1 2022,"Feb2,2022","Nov18,2021",0.05,
Jagator904,GME,Q3 2021,"Dec8,2021","Nov21,2021",-0.13,1221.00
Jagator904,LULU,Q3 2021,"Dec9,2021","Nov28,2021",1.65,1531.00
Jagator904,EDU,Q4 2021,"Dec13,2021","Dec5,2021",0.01,1138.00
Jagator904,TCOM,Q3 2021,"Dec15,2021","Nov22,2021",0.18,996.00
Jagator904,ADBE,Q4 2021,"Dec16,2021","Nov28,2021",3.33,4132.00
Jagator904,WGO,Q1 2022,"Dec17,2021","Nov21,2021",2.60,1085.00
Jagator904,MCD,Q4 2021,"Jan24,2022","Nov21,2021",2.50,6154.00
Jagator904,HD,Q4 2021,"Feb22,2022","Nov16,2021",3.41,34500.00
Jagator904,DKNG,Q4 2021,"Feb25,2022","Nov5,2021",-0.63,425.90
Jagator904,HIBB,Q4 2022,"Mar11,2022","Aug27,2021",1.44,378.49
TV447703,FLWS,Q2 2022,"Feb3,2022","Nov4,2021",1.89,965.90
TV447703,ORLY,Q4 2021,"Feb9,2022","Aug16,2021",5.91,2970.00
TV447703,AAN,Q4 2021,"Feb22,2022","Oct28,2021",0.40,431.40
TV447703,AAP,Q4 2021,"Feb22,2022","Jul13,2021",2.10,2297.00
TV447703,RCII,Q4 2021,"Feb23,2022","Nov16,2021",1.61,1189.00
R_C12R,CHWY,Q3 2021,"Dec9,2021","Dec7,2021",-0.04,2219.00
R_C12R,EDU,Q4 2021,"Dec13,2021","Sep7,2021",0.06,1148.00
R_C12R,PYPL,Q4 2021,"Feb2,2022","Dec2,2021",1.31,7106.00
R_C12R,AOSL,Q2 2022,"Feb9,2022","Dec2,2021",1.07,190.00
R_C12R,FIVE,Q4 2021,"Mar23,2022","Dec3,2021",2.51,1058.00
R_C12R,CRWD,Q4 2022,"Mar24,2022","Dec5,2021",0.23,418.00
Roth_36,HEXO,Q1 2022,"Dec13,2021","Jun16,2021",-0.10,39.30
Roth_36,TLRY,Q2 2022,"Feb16,2022","Feb18,2021",-0.02,299.92
Roth_36,HEXO,Q2 2022,"Mar17,2022","Jun16,2021",-0.09,44.70
Roth_36,TLRY,Q3 2022,"May10,2022","Oct8,2021",-0.08,168.00
Roth_36,HEXO,Q3 2022,"Jun16,2022","Jun16,2021",-0.08,49.20
Roth_36,TLRY,Q4 2022,"Jul28,2022","Oct8,2021",-0.13,175.40
Roth_36,TLRY,Q1 2023,"Oct6,2022","Oct8,2021",-0.12,182.00
Roth_36,HEXO,Q4 2022,"Oct29,2022","Jun16,2021",-0.07,54.80
Roth_36,TLRY,Q2 2023,"Feb15,2023","Oct8,2021",-0.11,190.70
Roth_36,TLRY,Q3 2023,"May9,2023","Oct8,2021",-0.09,200.20
Roth_36,TLRY,Q4 2023,"Jul27,2023","Oct8,2021",-0.08,211.40
shendricks,SPWH,Q3 2021,"Dec8,2021","Nov14,2021",0.66,411.42
shendricks,GME,Q3 2021,"Dec8,2021","Nov14,2021",-0.22,1256.00
shendricks,HRL,Q4 2021,"Dec9,2021","Nov21,2021",0.52,3319.00
shendricks,MTN,Q1 2022,"Dec9,2021","Nov21,2021",-3.51,204.31
shendricks,AVGO,Q4 2021,"Dec9,2021","Nov30,2021",7.91,7435.00
shendricks,COST,Q1 2022,"Dec9,2021","Nov29,2021",2.77,49925.00
shendricks,ORCL,Q2 2022,"Dec9,2021","Dec5,2021",1.17,10328.00
shendricks,LULU,Q3 2021,"Dec9,2021","Nov29,2021",1.78,1542.00
shendricks,GRUB,Q3 2021,"Dec10,2021","Oct26,2021",-0.14,590.67
shendricks,HEXO,Q1 2022,"Dec13,2021","Nov29,2021",-0.17,43.85
shendricks,TCOM,Q3 2021,"Dec15,2021","Nov14,2021",0.15,867.08
shendricks,ADBE,Q4 2021,"Dec16,2021","Dec5,2021",3.33,4190.00
shendricks,BB,Q3 2022,"Dec16,2021","Dec5,2021",-0.05,181.77
shendricks,DRI,Q2 2022,"Dec17,2021","Dec5,2021",1.58,2297.00
shendricks,NKE,Q2 2022,"Dec20,2021","Dec5,2021",0.77,11635.00
larrylai,SPWH,Q3 2021,"Dec8,2021","Nov3,2021",0.61,391.00
larrylai,GME,Q3 2021,"Dec8,2021","Nov5,2021",-0.50,1198.00
larrylai,HRL,Q4 2021,"Dec9,2021","Nov5,2021",0.50,3222.00
larrylai,MTN,Q1 2022,"Dec9,2021","Nov4,2021",-3.50,200.00
larrylai,AVGO,Q4 2021,"Dec9,2021","Nov17,2021",7.77,7396.00
larrylai,COST,Q1 2022,"Dec9,2021","Nov5,2021",2.70,49009.00
larrylai,ORCL,Q2 2022,"Dec9,2021","Nov22,2021",1.12,10266.00
larrylai,LULU,Q3 2021,"Dec9,2021","Nov17,2021",1.50,1449.00
larrylai,GRUB,Q3 2021,"Dec10,2021","Oct18,2021",-0.05,580.00
larrylai,HEXO,Q1 2022,"Dec13,2021","Nov17,2021",-0.07,43.00
larrylai,TCOM,Q3 2021,"Dec15,2021","Nov4,2021",0.11,899.00
larrylai,ADBE,Q4 2021,"Dec16,2021","Nov22,2021",3.26,4165.00
larrylai,BB,Q3 2022,"Dec16,2021","Nov22,2021",-0.06,179.10
larrylai,DRI,Q2 2022,"Dec17,2021","Nov5,2021",1.48,2234.00
larrylai,NKE,Q2 2022,"Dec20,2021","Nov17,2021",0.73,11510.00
Analyst_4442599,MU,Q1 2022,"Dec20,2021","May30,2021",2.56,8540.00
Analyst_4442599,TSM,Q4 2021,"Jan13,2022","Apr29,2021",1.11,15090.00
Analyst_4442599,UMC,Q4 2021,"Jan26,2022","Apr29,2021",0.16,1840.00
Analyst_4442599,NVDA,Q4 2022,"Feb17,2022","May27,2021",0.73,5900.00
Analyst_4442599,NIO,Q4 2021,"Mar8,2022","Apr29,2021",-0.02,1715.00
Analyst_4442599,CSIQ,Q4 2021,"Mar23,2022","May20,2021",1.00,1670.00
Analyst_4442599,MU,Q2 2022,"Mar30,2022","May30,2021",2.70,8710.00
Analyst_4442599,TSM,Q1 2022,"Apr14,2022","Apr29,2021",1.02,14380.00
Analyst_4442599,UMC,Q1 2022,"Apr27,2022","Apr29,2021",0.21,1820.00
Analyst_4442599,NVDA,Q1 2023,"May12,2022","May27,2021",0.67,5800.00
Analyst_4442599,CSIQ,Q1 2022,"May19,2022","May20,2021",0.54,1264.00
Europac_7,HEXO,Q1 2022,"Dec13,2021","Oct29,2021",-0.12,60106.00
Europac_7,OGI,Q1 2022,"Jan11,2022","Nov23,2021",-0.04,29711.00
Europac_7,CL,Q4 2021,"Jan28,2022","Nov11,2021",0.09,"2,35,876"
Europac_7,TLRY,Q2 2022,"Feb16,2022","Jul28,2021",-0.08,"1,42,236"
Europac_7,HEXO,Q2 2022,"Mar17,2022","Oct29,2021",-0.09,75261.00
Europac_7,OGI,Q2 2022,"Apr12,2022","Nov23,2021",-0.04,29911.00
Europac_7,CL,Q1 2022,"Apr29,2022","Nov11,2021",0.10,"2,55,186"
Europac_7,TLRY,Q3 2022,"May10,2022","Oct7,2021",-0.08,"1,68,023"
Europac_7,HEXO,Q3 2022,"Jun16,2022","Oct29,2021",-0.08,78865.00
Europac_7,OGI,Q3 2022,"Jul19,2022","Nov23,2021",-0.03,32611.00
Europac_7,TLRY,Q4 2022,"Jul28,2022","Oct7,2021",-0.08,"1,76,668"
Europac_7,CL,Q2 2022,"Jul29,2022","Nov11,2021",0.11,"2,69,434"
Europac_7,TLRY,Q1 2023,"Oct6,2022","Oct7,2021",-0.08,"1,87,518"
Europac_7,CL,Q3 2022,"Oct28,2022","Nov11,2021",0.12,"2,85,818"
Europac_7,HEXO,Q4 2022,"Oct29,2022","Oct29,2021",-0.07,82532.00
Europac_7,OGI,Q4 2022,"Dec1,2022","Nov23,2021",-0.03,35211.00
Europac_7,CL,Q4 2022,"Jan27,2023","Nov11,2021",0.14,"3,02,719"
Europac_7,TLRY,Q2 2023,"Feb15,2023","Oct7,2021",-0.09,"2,01,428"
Europac_7,TLRY,Q3 2023,"May9,2023","Oct7,2021",-0.08,"2,12,600"
Europac_7,TLRY,Q4 2023,"Jul27,2023","Oct7,2021",-0.08,221.03
AAFED,SPWH,Q3 2021,"Dec8,2021","Aug29,2021",0.67,385.00
AAFED,GME,Q3 2021,"Dec8,2021","Nov19,2021",-0.22,1240.00
AAFED,HRL,Q4 2021,"Dec9,2021","Aug29,2021",0.52,3030.00
AAFED,MTN,Q1 2022,"Dec9,2021","Sep20,2021",-3.30,245.00
AAFED,AVGO,Q4 2021,"Dec9,2021","Aug29,2021",7.58,7250.00
benjenholdings,SPWH,Q3 2021,"Dec8,2021","Nov17,2021",0.62,396.92
benjenholdings,GME,Q3 2021,"Dec8,2021","Nov23,2021",-0.35,1240.00
benjenholdings,PATH,Q3 2021,"Dec8,2021","Dec6,2021",0.00,213.34
benjenholdings,PFSW,Q2 2021,"Dec10,2021","Oct19,2021",0.05,83.80
benjenholdings,GRUB,Q3 2021,"Dec10,2021","Oct26,2021",-0.35,581.67
benjenholdings,EDU,Q4 2021,"Dec13,2021","Dec3,2021",0.05,1100.00
benjenholdings,TAL,Q2 2022,"Dec13,2021","Oct27,2021",0.03,1375.00
benjenholdings,JOBS,Q3 2021,"Dec13,2021","Nov10,2021",0.56,141.04
benjenholdings,CYD,Q3 2021,"Dec13,2021","Nov10,2021",0.44,622.26
benjenholdings,TCOM,Q3 2021,"Dec15,2021","Nov23,2021",0.12,865.02
benjenholdings,AXP,Q4 2021,"Jan20,2022","Oct27,2021",2.00,11638.00
benjenholdings,FB,Q4 2021,"Feb2,2022","Oct27,2021",3.95,33115.00
benjenholdings,SNAP,Q4 2021,"Feb8,2022","Oct27,2021",0.16,1250.00
benjenholdings,SRI,Q4 2021,"Mar2,2022","Oct27,2021",-0.10,194.94
benjenholdings,PNTG,Q4 2021,"Mar9,2022","Nov2,2021",0.25,115.06
benjenholdings,BLDP,Q4 2021,"Mar9,2022","Nov9,2021",-0.08,29.80
Analyst_7579453,SPWH,Q3 2021,"Dec8,2021","Nov13,2021",0.62,400.00
Analyst_7579453,GME,Q3 2021,"Dec8,2021","Nov22,2021",-0.33,1250.00
Analyst_7579453,HRL,Q4 2021,"Dec9,2021","Dec1,2021",0.50,3250.00
Analyst_7579453,AVGO,Q4 2021,"Dec9,2021","Dec1,2021",7.80,7365.00
Analyst_7579453,COST,Q1 2022,"Dec9,2021","Dec1,2021",2.64,49000.00
Analyst_7579453,ORCL,Q2 2022,"Dec9,2021","Dec1,2021",1.13,10250.00
Analyst_7579453,LULU,Q3 2021,"Dec9,2021","Dec1,2021",1.50,1450.00
Analyst_7579453,GRUB,Q3 2021,"Dec10,2021","Oct22,2021",-0.07,580.00
Analyst_7579453,HEXO,Q1 2022,"Dec13,2021","Nov22,2021",-0.08,45.00
