company_name,f_quarter,analyst_id,analyst_name,eps_estimation
EVRG,FQ1 '19,Sentinel,Sentinel,0.44
EVRG,FQ1 '19,QuantTrader007,Frederick Tremblay,0.41
EVRG,FQ1 '19,Suntrust_2,Ali Agha,0.4
EVRG,FQ1 '19,BillB1210,Bill,0.39
EVRG,FQ2 '19,Suntrust_2,Ali Agha,0.57
EVRG,FQ2 '19,QuantTrader007,Frederick Tremblay,0.61
EVRG,FQ2 '19,Sentinel,Sentinel,0.66
EVRG,FQ2 '19,BillB1210,Bill,0.66
EVRG,FQ3 '19,QuantTrader007,Frederick Tremblay,1.57
EVRG,FQ3 '19,BillB1210,Bill,1.56
EVRG,FQ3 '19,Suntrust_2,Ali Agha,1.59
EVRG,FQ3 '19,Analyst_5770830,Analyst_5770830,1.55
EVRG,FQ3 '19,bsirirat,Bob S.,1.59
EVRG,FQ3 '19,Medic2525,Medic2525,1.4
EVRG,FQ4 '19,Suntrust_2,Ali Agha,0.32
EVRG,FQ4 '19,BillB1210,Bill,0.34
EVRG,FQ4 '19,QuantTrader007,Frederick Tremblay,0.29
EVRG,FQ4 '19,Analyst_8298118,Analyst_8298118,0.28
SPSC,FQ1 '19,Analyst_8030355,Analyst_8030355,0.28
SPSC,FQ1 '19,Mehrwert,Mehrwert,0.28
SPSC,FQ1 '19,QuantTrader007,Frederick Tremblay,0.28
SPSC,FQ1 '19,smiles18,Sean,0.28
SPSC,FQ1 '19,serpyou,serpyou,0.27
SPSC,FQ1 '19,AetCap,AetCap,0.27
SPSC,FQ1 '19,BillB1210,Bill,0.27
SPSC,FQ1 '19,Spekoliunas,Zilvinas Speteliunas,0.27
SPSC,FQ1 '19,MTS_Insights,Jacob Hess,0.27
SPSC,FQ1 '19,Sentinel,Sentinel,0.26
SPSC,FQ1 '19,Canaccord_188,David Hynes Jr.,0.26
SPSC,FQ1 '19,Madmoni,Madmoni,0.26
SPSC,FQ1 '19,Oppenheimer_55,"Koji Ikeda, CFA",0.26
SPSC,FQ1 '19,Needham_26,Scott Berg,0.26
SPSC,FQ1 '19,Analyst_4523383,Analyst_4523383,0.26
SPSC,FQ1 '19,Analyst_4678270,Analyst_4678270,0.26
SPSC,FQ1 '19,Canaccord_96,David Hynes Jr.,0.23
SPSC,FQ2 '19,Dolwhale,Dolwhale,0.3
SPSC,FQ2 '19,Analyst_8134075,Analyst_8134075,0.3
SPSC,FQ2 '19,BillB1210,Bill,0.29
