analyst_id,ticker,f_quarter,reported,eps_points,revenue_points,total_points
QuantTrader007,FLR,Q2 2020,12-Nov-20,-3,11,8
QuantTrader007,MLCO,Q2 2020,20-Aug-20,-4,-25,-29
QuantTrader007,WOLF,Q4 2020,18-Aug-20,-4,-6,-10
QuantTrader007,MDP,Q4 2020,13-Aug-20,-6,-7,-13
QuantTrader007,ICON,Q2 2020,12-Aug-20,-6,-4,-10
QuantTrader007,ACIA,Q2 2020,10-Aug-20,-5,-9,-14
QuantTrader007,RAIL,Q2 2020,10-Aug-20,15,14,29
QuantTrader007,MCHX,Q2 2020,10-Aug-20,10,18,28
QuantTrader007,SPPI,Q2 2020,10-Aug-20,19,-25,-6
QuantTrader007,HZN,Q2 2020,7-Aug-20,15,14,29
QuantTrader007,USM,Q2 2020,6-Aug-20,16,23,39
QuantTrader007,FPRX,Q2 2020,6-Aug-20,9,-10,-1
QuantTrader007,GERN,Q2 2020,6-Aug-20,-17,-1,-18
QuantTrader007,FSLR,Q2 2020,6-Aug-20,-3,14,11
QuantTrader007,WCN,Q2 2020,6-Aug-20,11,-3,8
QuantTrader007,PRAH,Q2 2020,6-Aug-20,-9,-8,-17
QuantTrader007,PFSI,Q2 2020,6-Aug-20,-6,-6,-12
QuantTrader007,CQP,Q2 2020,6-Aug-20,14,-6,8
QuantTrader007,IBP,Q2 2020,6-Aug-20,-4,18,14
QuantTrader007,AAON,Q2 2020,6-Aug-20,25,19,44
QuantTrader007,PCRX,Q2 2020,6-Aug-20,-7,-15,-22
QuantTrader007,USPH,Q2 2020,6-Aug-20,18,-9,9
QuantTrader007,ZEUS,Q2 2020,6-Aug-20,-4,-4,-8
QuantTrader007,AAWW,Q2 2020,6-Aug-20,-6,-5,-11
QuantTrader007,XRAY,Q2 2020,6-Aug-20,-8,-19,-27
Suntrust_2,PNW,Q3 2021,5-Nov-21,12,12,24
Suntrust_2,SO,Q3 2021,4-Nov-21,-25,24,-1
Suntrust_2,PPL,Q3 2021,4-Nov-21,-17,-25,-42
Suntrust_2,NRG,Q3 2021,4-Nov-21,-4,-5,-9
Suntrust_2,DUK,Q3 2021,4-Nov-21,9,9,18
Suntrust_2,CNP,Q3 2021,4-Nov-21,-15,-25,-40
Suntrust_2,AEE,Q3 2021,3-Nov-21,9,-6,3
Suntrust_2,AES,Q3 2021,3-Nov-21,9,22,31
Suntrust_2,EXC,Q3 2021,3-Nov-21,-8,-4,-12
Suntrust_2,EVRG,Q3 2021,3-Nov-21,11,-21,-10
Suntrust_2,EIX,Q3 2021,2-Nov-21,-3,-8,-11
Suntrust_2,PNM,Q3 2021,28-Oct-21,25,14,39
Suntrust_2,CMS,Q3 2021,28-Oct-21,-10,15,5
Suntrust_2,AEP,Q3 2021,28-Oct-21,-11,17,6
Suntrust_2,XEL,Q3 2021,28-Oct-21,16,-25,-9
Suntrust_2,AEE,Q2 2021,5-Aug-21,19,-16,3
Suntrust_2,PPL,Q2 2021,5-Aug-21,-6,-15,-21
Suntrust_2,NRG,Q2 2021,5-Aug-21,9,-4,5
Suntrust_2,EVRG,Q2 2021,5-Aug-21,-7,-18,-25
Suntrust_2,DUK,Q2 2021,5-Aug-21,-10,-8,-18
Suntrust_2,PNW,Q2 2021,5-Aug-21,-6,-6,-12
Suntrust_2,CNP,Q2 2021,5-Aug-21,14,-24,-10
Suntrust_2,AES,Q2 2021,4-Aug-21,14,19,33
Suntrust_2,EXC,Q2 2021,4-Aug-21,-4,22,18
Suntrust_2,PNM,Q2 2021,30-Jul-21,8,13,21
BillB1210,DXPE,Q3 2021,8-Dec-21,-2,-3,-5
BillB1210,NETI,Q3 2021,8-Dec-21,-4,22,18
BillB1210,CPB,Q1 2022,8-Dec-21,9,-4,5
BillB1210,KFY,Q2 2022,8-Dec-21,20,19,39
BillB1210,VRA,Q3 2022,8-Dec-21,-4,-10,-14
BillB1210,THO,Q1 2022,8-Dec-21,12,11,23
BillB1210,UNFI,Q1 2022,8-Dec-21,11,8,19
BillB1210,PLAB,Q4 2021,8-Dec-21,9,9,18
BillB1210,LOVE,Q3 2022,8-Dec-21,9,9,18
BillB1210,PD,Q3 2022,7-Dec-21,11,13,24
BillB1210,CASY,Q2 2022,7-Dec-21,-4,9,5
BillB1210,PLAY,Q3 2021,7-Dec-21,-4,-5,-9
BillB1210,SFIX,Q1 2022,7-Dec-21,21,15,36
BillB1210,TOL,Q4 2021,7-Dec-21,12,15,27
BillB1210,CHPT,Q3 2022,7-Dec-21,-2,13,11
BillB1210,AVAV,Q2 2022,7-Dec-21,8,-3,5
BillB1210,JW-A,Q2 2022,7-Dec-21,8,9,17
BillB1210,DBI,Q3 2021,7-Dec-21,14,15,29
BillB1210,AZO,Q1 2022,7-Dec-21,9,14,23
BillB1210,CONN,Q3 2022,7-Dec-21,-2,8,6
BillB1210,HQY,Q3 2022,6-Dec-21,-3,-4,-7
BillB1210,COUP,Q3 2022,6-Dec-21,9,16,25
BillB1210,MDB,Q3 2022,6-Dec-21,9,11,20
BillB1210,SAIC,Q3 2022,6-Dec-21,12,17,29
BillB1210,HIBB,Q3 2022,3-Dec-21,-4,21,17
Analyst_5770830,NEE,Q2 2020,24-Jul-20,-4,10,6
Analyst_5770830,EVRG,Q3 2019,6-Nov-19,-2,13,11
bsirirat,MSFT,Q4 2020,22-Jul-20,7,-5,2
bsirirat,HTHT,Q1 2020,30-Jun-20,13,-1,12
bsirirat,HCR,Q1 2020,25-Jun-20,0,-3,-3
bsirirat,GME,Q1 2020,9-Jun-20,-3,-2,-5
bsirirat,GERN,Q1 2020,28-May-20,0,-1,-1
bsirirat,JWN,Q1 2020,28-May-20,-2,15,13
bsirirat,TCOM,Q1 2020,28-May-20,-1,-1,-2
bsirirat,PSTG,Q1 2021,28-May-20,-4,-5,-9
bsirirat,MOD,Q4 2020,28-May-20,0,-1,-1
bsirirat,VEEV,Q1 2021,28-May-20,7,-3,4
bsirirat,WSM,Q1 2020,28-May-20,-4,-3,-7
bsirirat,CRM,Q1 2021,28-May-20,-1,-1,-2
bsirirat,ULTA,Q1 2020,28-May-20,-1,16,15
bsirirat,COST,Q3 2020,28-May-20,-4,-1,-5
bsirirat,VMW,Q1 2021,28-May-20,-4,-2,-6
bsirirat,MRVL,Q1 2021,28-May-20,-5,-3,-8
bsirirat,OLLI,Q1 2020,28-May-20,8,-2,6
bsirirat,ZS,Q3 2020,28-May-20,-5,-4,-9
bsirirat,OKTA,Q1 2021,28-May-20,-5,-5,-10
bsirirat,DXC,Q4 2020,28-May-20,10,20,30
bsirirat,DELL,Q1 2021,28-May-20,7,-5,2
bsirirat,MSFT,Q3 2020,29-Apr-20,11,16,27
bsirirat,MA,Q1 2020,29-Apr-20,-6,-11,-17
bsirirat,LOVE,Q4 2020,16-Apr-20,-1,-1,-2
bsirirat,CYD,Q4 2019,30-Mar-20,-3,-3,-6
Medic2525,ARMK,Q4 2021,16-Nov-21,-6,20,14
Medic2525,ICLR,Q3 2021,3-Nov-21,-4,-1,-5
Medic2525,HRB,Q1 2022,2-Nov-21,-4,-3,-7
Medic2525,SAVE,Q3 2021,27-Oct-21,-6,-8,-14
Medic2525,MNRO,Q2 2022,27-Oct-21,-5,-15,-20
Medic2525,CHEF,Q3 2021,27-Oct-21,-25,-12,-37
Medic2525,JNPR,Q3 2021,26-Oct-21,25,16,41
Medic2525,TSCO,Q3 2021,21-Oct-21,-7,10,3
Medic2525,AZZ,Q2 2022,12-Oct-21,13,-5,8
Medic2525,CMTL,Q4 2021,4-Oct-21,-5,-8,-13
Medic2525,ATGE,Q4 2021,19-Aug-21,-7,-3,-10
Medic2525,NETI,Q2 2021,17-Aug-21,9,8,17
Medic2525,SONO,Q3 2021,11-Aug-21,3,-5,-2
Medic2525,KMDA,Q2 2021,11-Aug-21,-3,-3,-6
Medic2525,CIR,Q2 2021,10-Aug-21,20,21,41
Medic2525,NLS,Q2 2021,9-Aug-21,-4,16,12
Medic2525,GOLD,Q2 2021,9-Aug-21,18,-1,17
Medic2525,GT,Q2 2021,6-Aug-21,17,20,37
Medic2525,WYNN,Q2 2021,4-Aug-21,-4,-4,-8
Medic2525,LYFT,Q2 2021,3-Aug-21,22,13,35
Medic2525,AAIC,Q2 2021,3-Aug-21,17,11,28
Medic2525,RL,Q1 2022,3-Aug-21,9,9,18
Medic2525,LLY,Q2 2021,3-Aug-21,-9,23,14
Medic2525,MAR,Q2 2021,3-Aug-21,11,21,32
Medic2525,COLM,Q2 2021,2-Aug-21,10,13,23
Analyst_8298118,GE,Q1 2020,29-Apr-20,-3,-1,-4
Analyst_8298118,EVRG,Q4 2019,2-Mar-20,-9,-1,-10
Analyst_8030355,AYX,Q2 2020,6-Aug-20,10,18,28
Analyst_8030355,RM,Q2 2020,5-Aug-20,-3,9,6
Analyst_8030355,NUAN,Q3 2020,5-Aug-20,9,11,20
Analyst_8030355,REGN,Q2 2020,5-Aug-20,9,10,19
Analyst_8030355,IPHI,Q2 2020,4-Aug-20,9,10,19
Analyst_8030355,RNG,Q2 2020,3-Aug-20,9,12,21
Analyst_8030355,FLEX,Q1 2021,30-Jul-20,6,-5,1
Analyst_8030355,SPSC,Q2 2020,30-Jul-20,12,8,20
Analyst_8030355,CHE,Q2 2020,29-Jul-20,10,11,21
Analyst_8030355,CNMD,Q2 2020,29-Jul-20,9,10,19
Analyst_8030355,LSCC,Q2 2020,28-Jul-20,8,7,15
Analyst_8030355,DXCM,Q2 2020,28-Jul-20,10,14,24
Analyst_8030355,MSFT,Q4 2020,22-Jul-20,25,11,36
Analyst_8030355,DIOD,Q1 2020,11-May-20,-3,-3,-6
Analyst_8030355,RNG,Q1 2020,6-May-20,25,15,40
Analyst_8030355,SPSC,Q1 2020,30-Apr-20,11,21,32
