analyst_id,ticker,reports,quarters,points,pts_est,error_rate,accuracy
Sentinel,PAYX,Dec-22,9.00,122.00,13.60,0.02,0.54
Sentinel,GIS,Dec-21,9.00,44.00,4.90,0.05,0.50
Sentinel,IBM,Jan-24,9.00,106.00,11.80,0.03,0.57
Sentinel,JPM,Jan-14,9.00,50.00,5.60,0.09,0.39
Sentinel,BB,Dec-16,9.00,147.00,16.30,0.33,0.51
Sentinel,INTC,Jan-26,9.00,115.00,12.80,0.07,0.53
Sentinel,ADBE,Dec-16,9.00,145.00,16.10,0.02,0.48
Sentinel,MU,Dec-20,9.00,64.00,7.10,0.08,0.59
Sentinel,ACN,Dec-16,8.00,113.00,14.10,0.03,0.50
Sentinel,CSCO,Feb-16,8.00,261.00,32.60,0.02,0.64
Sentinel,WB,Mar-02,8.00,160.00,20.00,0.05,0.61
Sentinel,CCL,Jan-25,8.00,17.00,2.10,0.21,0.48
Sentinel,AEO,Mar-02,8.00,140.00,17.50,0.16,0.70
Sentinel,TXN,Jan-26,8.00,118.00,14.80,0.05,0.55
Sentinel,AVGO,Dec-09,8.00,190.00,23.80,0.01,0.65
Sentinel,FDX,Dec-16,8.00,69.00,8.60,0.05,0.66
Sentinel,TSLA,Feb-02,8.00,9.00,1.10,0.36,0.52
Sentinel,DAL,Jan-18,8.00,-53.00,-6.60,0.13,0.36
Sentinel,AAPL,Feb-01,8.00,138.00,17.30,0.06,0.56
Sentinel,CAT,Jan-27,8.00,86.00,10.80,0.09,0.64
Sentinel,CASY,Mar-07,8.00,95.00,11.90,0.09,0.63
Sentinel,LEN,Dec-15,8.00,75.00,9.40,0.11,0.46
Sentinel,LULU,Dec-09,8.00,55.00,6.90,0.09,0.53
Sentinel,COST,Dec-09,8.00,156.00,19.50,0.04,0.58
Sentinel,BIDU,Feb-24,8.00,55.00,6.90,0.22,0.38
Sentinel,KMX,Dec-17,8.00,64.00,8.00,0.09,0.53
Sentinel,NKE,Dec-20,8.00,76.00,9.50,0.14,0.43
Sentinel,PEP,Feb-10,8.00,123.00,15.40,0.03,0.46
Sentinel,AXP,Jan-20,8.00,56.00,7.00,0.07,0.58
Sentinel,ISRG,Jan-27,8.00,134.00,16.80,0.10,0.51
Suntrust_2,XEL,Feb-03,32.00,155.00,4.80,0.07,0.50
Suntrust_2,AES,Mar-02,32.00,295.00,9.20,0.13,0.49
Suntrust_2,SO,Feb-23,32.00,138.00,4.30,0.09,0.38
Suntrust_2,EIX,Feb-22,32.00,87.00,2.70,0.14,0.39
Suntrust_2,CNP,Mar-03,31.00,-244.00,-7.70,0.29,0.22
Suntrust_2,EXC,Feb-09,30.00,199.00,6.60,0.09,0.43
Suntrust_2,CMS,Feb-03,30.00,245.00,8.00,0.13,0.53
Suntrust_2,EVRG,Feb-25,29.00,77.00,2.60,0.15,0.42
Suntrust_2,AEP,Jan-27,29.00,274.00,9.40,0.07,0.57
Suntrust_2,DUK,Feb-17,29.00,47.00,1.60,0.07,0.36
Suntrust_2,NRG,Mar-03,23.00,136.00,5.90,0.44,0.45
Suntrust_2,PNM,Mar-01,21.00,109.00,5.20,0.14,0.44
Suntrust_2,PNW,Feb-25,19.00,85.00,4.50,0.17,0.38
Suntrust_2,PPL,Feb-17,17.00,-31.00,-1.80,0.16,0.36
Suntrust_2,AEE,Feb-18,10.00,-77.00,-7.70,0.15,0.19
BillB1210,AAPL,Feb-01,30.00,484.00,16.10,0.04,0.63
BillB1210,FB,Feb-02,28.00,546.00,19.50,0.06,0.62
BillB1210,DIS,Feb-08,27.00,352.00,13.00,0.12,0.65
BillB1210,CSCO,Feb-16,26.00,579.00,22.30,0.01,0.62
BillB1210,MSFT,Jan-27,26.00,560.00,21.50,0.05,0.65
BillB1210,CRM,Mar-01,26.00,632.00,24.30,0.07,0.64
BillB1210,NKE,Dec-20,25.00,505.00,20.20,0.08,0.69
BillB1210,CMG,Feb-08,25.00,384.00,15.40,0.07,0.62
BillB1210,TWTR,Feb-10,25.00,310.00,12.40,0.19,0.57
BillB1210,EBAY,Feb-02,25.00,334.00,13.40,0.03,0.57
BillB1210,AMZN,Feb-03,24.00,453.00,18.90,0.19,0.68
BillB1210,NFLX,Jan-18,24.00,262.00,10.90,0.09,0.61
BillB1210,LULU,Dec-09,24.00,458.00,19.10,0.06,0.67
BillB1210,HD,Feb-22,24.00,436.00,18.20,0.03,0.64
BillB1210,ORCL,Dec-09,24.00,405.00,16.90,0.02,0.63
BillB1210,UAA,Feb-15,24.00,380.00,15.80,0.19,0.61
BillB1210,IBM,Jan-24,23.00,264.00,11.50,0.02,0.60
BillB1210,VIPS,Feb-23,23.00,202.00,8.80,0.09,0.62
BillB1210,V,Feb-03,23.00,413.00,18.00,0.02,0.65
BillB1210,CMCSA,Jan-27,23.00,427.00,18.60,0.03,0.61
BillB1210,LOW,Feb-23,23.00,220.00,9.60,0.05,0.56
BillB1210,IAC,Feb-02,23.00,273.00,11.90,0.27,0.49
BillB1210,PZZA,Feb-22,23.00,253.00,11.00,0.10,0.59
BillB1210,WEN,Feb-24,23.00,200.00,8.70,0.10,0.52
BillB1210,FDX,Dec-16,23.00,308.00,13.40,0.06,0.59
BillB1210,MCD,Jan-24,23.00,324.00,14.10,0.03,0.59
BillB1210,SWBI,Mar-03,23.00,274.00,11.90,0.20,0.60
BillB1210,BKNG,Mar-02,23.00,394.00,17.10,0.09,0.64
BillB1210,SBUX,Jan-27,23.00,319.00,13.90,0.04,0.62
BillB1210,HPQ,Feb-23,23.00,430.00,18.70,0.04,0.63
Analyst_5770830,EVRG,Feb-25,1.00,11.00,11.00,0.02,0.64
bsirirat,COST,Dec-09,18.00,109.00,6.10,0.03,0.53
bsirirat,VEEV,Mar-01,18.00,-95.00,-5.30,0.09,0.27
bsirirat,MSFT,Jan-27,18.00,32.00,1.80,0.06,0.37
bsirirat,ANET,Feb-17,17.00,-54.00,-3.20,0.08,0.32
bsirirat,SWBI,Mar-03,17.00,109.00,6.40,0.22,0.45
bsirirat,HPQ,Feb-23,17.00,97.00,5.70,0.04,0.54
bsirirat,JWN,Mar-03,17.00,95.00,5.60,0.12,0.55
bsirirat,MELI,Feb-24,17.00,26.00,1.50,0.29,0.46
bsirirat,WSM,Mar-16,17.00,59.00,3.50,0.06,0.51
bsirirat,ULTA,Mar-10,17.00,132.00,7.80,0.04,0.58
bsirirat,CERN,Feb-08,17.00,359.00,21.10,0.02,0.68
bsirirat,COO,Mar-03,17.00,17.00,1.00,0.03,0.46
bsirirat,MU,Dec-20,17.00,46.00,2.70,0.12,0.54
bsirirat,EXPE,Feb-10,16.00,122.00,7.60,0.12,0.60
bsirirat,BIDU,Feb-24,16.00,86.00,5.40,0.16,0.42
bsirirat,KSS,Feb-24,16.00,168.00,10.50,0.05,0.62
bsirirat,URBN,Mar-08,16.00,200.00,12.50,0.06,0.62
